      1 bn
      1 gu
      1 hy
      1 sd
      2 ml
      2 te
      3 bg
      4 ta
      5 sr
      6 am
      6 ps
      9 mr
     17 ne
     17 uk
     22 el
     55 vi
    113 sl
    116 fa
    134 is
    158 lv
    167 iw
    196 lt
    199 th
    215 ur
    223 hu
    231 ko
    242 cs
    246 ro
    263 eu
    305 ru
    321 zh
    330 hi
    432 ca
    447 fi
    451 sv
    474 da
    509 pl
    568 no
    754 nl
    852 tr
   1014 et
   1088 it
   1203 de
   1319 cy
   1546 ja
   1819 ar
   2399 in
   2648 fr
   3142 tl
   3489 ht
   4218 pt
  21217 es
 100291 und
 770635 en
