      1 pa
      1 ug
      2 gu
      2 kn
      3 ta
      4 ps
      5 am
      6 sr
      7 bg
      7 te
     12 uk
     14 mr
     17 ne
     18 el
     42 si
     54 vi
    123 ur
    143 th
    150 iw
    208 hu
    219 ko
    231 ro
    231 sl
    235 fa
    245 is
    259 lt
    285 lv
    297 eu
    297 ru
    370 hi
    412 fi
    415 zh
    530 ca
    567 cs
    632 no
    634 da
    739 pl
    799 tr
    897 sv
   1057 nl
   1180 et
   1210 it
   1356 cy
   1377 ja
   1410 de
   2003 ar
   2964 in
   3002 fr
   3704 tl
   4520 pt
   4611 ht
  21645 es
 116066 und
 897898 en
