      1 km
      1 my
      2 hy
      3 pa
      4 bg
      4 bn
      4 ps
      7 sr
      7 te
      9 ne
     10 ta
     17 am
     17 mr
     28 el
     28 si
     36 uk
     63 vi
     86 sl
    148 iw
    150 th
    156 ur
    163 is
    168 fa
    188 lv
    198 ko
    242 hu
    252 lt
    284 cs
    285 zh
    290 ro
    291 eu
    328 hi
    380 ru
    485 fi
    523 ca
    530 no
    545 da
    566 pl
    615 sv
    824 nl
    876 cy
   1037 et
   1076 tr
   1260 it
   1329 de
   1493 ja
   2049 ar
   2911 fr
   2980 in
   3456 tl
   3977 ht
   4713 pt
  24146 es
 109155 und
 814102 en
