      1 sd
      2 bn
      2 bo
      3 ps
      4 ne
      4 ta
      5 hy
      5 sr
      6 am
      7 te
      9 bg
     10 uk
     22 mr
     23 el
     47 vi
     55 si
    129 ur
    133 th
    138 sl
    165 iw
    172 is
    176 lv
    177 fa
    205 hu
    212 cs
    220 lt
    230 ko
    256 ro
    264 eu
    325 hi
    410 zh
    414 ru
    448 fi
    525 sv
    547 ca
    547 da
    551 no
    627 pl
    805 nl
    883 tr
    966 et
    993 cy
   1186 de
   1255 it
   1359 ja
   1998 ar
   2606 in
   2861 fr
   3302 tl
   3544 ht
   4694 pt
  23901 es
 103808 und
 788300 en
