      1 ckb
      1 hy
      1 kn
      1 ml
      1 ps
      2 am
      3 bg
      4 bn
      7 ne
      7 ta
      9 mr
     10 el
     11 sr
     15 uk
     22 te
     36 si
     56 vi
    125 sl
    158 iw
    161 ur
    165 th
    168 is
    198 ko
    202 hu
    203 cs
    216 lv
    229 ro
    233 lt
    292 ru
    335 hi
    349 zh
    361 eu
    481 fi
    526 ca
    549 da
    572 pl
    582 fa
    604 no
    646 sv
    896 nl
    956 tr
   1050 cy
   1212 it
   1267 et
   1297 de
   1379 ja
   2344 ar
   2868 fr
   3018 in
   3693 tl
   4915 pt
   5559 ht
  23428 es
 121840 und
 871076 en
