      1 ka
      1 kn
      1 ml
      1 my
      1 pa
      1 sd
      2 ps
      4 ta
      5 mr
      6 bn
      7 bg
      7 sr
      8 te
     11 am
     11 el
     13 ne
     15 si
     34 uk
     52 vi
     91 sl
    100 ur
    115 fa
    165 lv
    176 is
    184 iw
    201 th
    210 hu
    238 ro
    244 ko
    249 eu
    272 lt
    273 cs
    314 hi
    390 zh
    465 fi
    476 ru
    486 ca
    563 no
    586 da
    629 sv
    780 pl
    782 nl
    843 tr
    966 cy
   1144 et
   1224 it
   1505 de
   2072 ar
   2236 ja
   2788 fr
   3017 in
   3462 tl
   3465 ht
   4462 pt
  25147 es
 111231 und
 861287 en
