      1 hy
      1 ps
      2 gu
      2 my
      2 sd
      3 bn
      8 bg
     10 am
     16 ta
     16 te
     17 sr
     22 uk
     24 ne
     25 mr
     32 el
     35 si
     45 vi
     89 sl
    132 th
    158 iw
    166 fa
    170 is
    189 lv
    213 hu
    215 ur
    217 ko
    253 lt
    259 cs
    280 ro
    282 eu
    346 hi
    350 zh
    368 ru
    434 fi
    496 da
    517 sv
    532 no
    546 ca
    641 pl
    796 nl
    804 tr
   1009 cy
   1067 et
   1196 de
   1283 it
   1340 ja
   2119 ar
   2418 in
   2858 fr
   3253 tl
   3582 ht
   4619 pt
  26920 es
 105912 und
 790173 en
